Date,Parameter,Parameter_Category,Operating_Area,System_City,System_City_Calculated
1-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1006
2-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1079
3-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1199
4-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1223
5-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1220
6-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1041
7-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1047
8-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1028
9-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,980
10-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1015
11-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1031
12-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1040
13-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1010
14-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1022
15-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,998
16-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,880
17-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,866
18-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,874
19-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,888
20-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,861
21-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,843
22-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,960
23-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1004
24-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,975
25-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1045
26-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1002
27-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1026
28-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1073
29-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1115
30-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1112
31-Jan-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1084
1-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,978
2-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,989
3-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1006
4-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1059
5-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1190
6-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1257
7-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1328
8-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1302
9-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1214
10-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1029
11-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,940
12-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,973
13-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,978
14-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,948
15-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,989
16-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1059
17-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1012
18-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1121
19-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1294
20-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1309
21-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1287
22-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1398
23-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1331
24-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1299
25-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1297
26-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1420
27-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1418
28-Feb-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1368
1-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1277
2-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1358
3-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1312
4-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1481
5-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1519
6-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1514
7-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1521
8-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1528
